id,name,role,company_id
847,"Wen Sang, CEO",CEO,417
848,"Maokai Lin, CTO",CTO,417
849,Kiah J. Williams,Founder,418
850,Adam Kircher,Founder,418
851,George Wang,Director,418
852,Mike McNeil,CEO,419
853,Beth Kolko,CEO,420
854,Gregory Koberger,Founder,421
855,Ritesh Patel,Founder,422
856,Daniel Kobran,Founder,423
857,Dillon Thompson Erb,CEO,423
858,Nick Carson,CEO,424
859,"Neil Thanedar, CEO",CEO,425
860,"Rafael Ferreira, CMO",CMO,425
861,"Helton Souza, CTO",CTO,425
862,"Andrew McCalister, CEO",CEO,426
863,"Sean Watters, CTO",CTO,426
864,Vladimir Novosselov,Special Projects,427
865,Mark Prokoudine,Founder,427
866,Edwin Broni-Mensah,The Water Guy,428
867,"Mike Duncan, CEO",CEO,429
868,Dan Burton,,430
869,"Tiffani Ashley Bell, Executive Director",Executive Director,431
870,Pia Mancini,Founder,432
871,Santiago Siri,President,432
872,"George Deglin, CEO",CEO,433
873,"Long Vo, COO",COO,433
874,Jonah Greenberger,,434
875,Mike Chen,CEO,435
876,Benjamin Godlove,CTO,435
877,Aaron Kemmer,Founder,435
878,David Merriman,Founder,435
879,Nic Novak,Founder,435
880,Michael Rubin,CFO,435
881,Jared Goodner,Founder,436
882,Hugh Gordon,Founder,436
883,Prashant Samant,Founder,436
884,Willis Wee,CEO,437
885,Paul Duan,President,438
886,Caroline Cochran,,439
887,"Jacob DeWitte, CEO",CEO,439
888,Susan Johnson,CEO,440
889,Maksim Izmaylov,Founder,441
890,Jakub Vysoký,Founder,441
891,"Tom Shapland, CEO",CEO,442
892,Patrick Hannigan,CTO,443
893,Ian Roberts,Founder,443
894,Tim Ogilvie,Founder,444
895,"Christopher Farm, CEO",CEO,445
896,"Amir Manji, Head Barista",Head Barista,445
897,Thomas Cottin,CTO,446
898,Aboud Jardaneh,Founder,446
899,Hamza Ouazzani Chahdi,Founder,446
900,Christian Kletzl,Founder,447
901,Stephan Kletzl,Founder,447
902,Khanjan Desai,Founder,448
903,Chong Shen,Founder,448
904,"Zack Liscio, CEO",CEO,449
905,Patrick Costello,,449
906,Miles Penn,CEO,450
907,Charles Desouza,CTO,451
908,Brian Stewart,CEO,451
909,"Juan Benet, CEO, Engineer",Engineer,452
910,Andrew Kurland,CTO,453
911,Joe Marrapodi,CEO,453
912,Hamed Saadat,Founder,454
913,Murtaza Saadat,CEO,454
914,Alan Guichard,CFO,455
915,Aakash Patel,CTO,455
916,Jugoslav Petkovic,CEO,456
917,Matija Rijavec,"Magician, Taster & CTO",456
918,Grisa Soba,Founder,456
919,Aubone Tennant,Chief Growth Officer,457
920,Johnny Chin,CEO,458
921,Antoine de Chevigné,CTO,458
922,Fahim Aziz,CEOM,459
923,Sakib Sauro,CTO,459
924,Frank Macreery,CEO,460
925,Naveen Jain,CEO,461
926,Reid Rubsamen,CEO,461
927,Matt Harris,CEO,462
928,Varun Arora,Founding Director,463
929,"John Lai, CEO",CEO,464
930,Nick Sherstyuk,Founder,465
931,Tim Sherstyuk,CCO,465
932,Ooshma Garg,CEO,466
933,Max Kolysh,,467
934,Doug Feigelson,,467
935,Julia Kurnia,Director,468
936,Jason Wang,,469
937,Lona Alia,CEO,470
